aX,aY,aZ,gX,gY,gZ,sample
0.392,0.22,-0.885,-35.95,-13.977,5.127,4
0.391,0.204,-0.865,-36.499,-13.855,1.648,4
0.407,0.132,-0.882,-34.058,-15.259,-1.526,4
0.475,-0.074,-0.961,-27.954,-16.479,-4.15,4
0.5,-0.292,-1.024,-14.648,-13.977,-6.47,4
0.399,-0.019,-0.974,-2.38,-8.667,-4.089,4
0.378,0.174,-0.951,0.244,-2.563,5.554,4
0.358,0.249,-0.978,-1.16,7.324,11.841,4
0.369,0.263,-1.03,-2.136,15.93,13.367,4
0.389,0.24,-1.08,-3.601,17.456,13.0,4
0.374,0.24,-1.078,-6.775,13.367,9.766,4
0.365,0.256,-1.036,-12.268,11.475,5.188,4
0.361,0.239,-0.995,-17.7,12.817,0.244,4
0.337,0.236,-0.923,-20.569,11.902,-4.883,4
0.314,0.24,-0.851,-20.264,8.972,-8.362,4
0.295,0.212,-0.815,-18.066,5.981,-11.719,4
0.262,0.184,-0.788,-14.893,3.967,-15.503,4
0.215,0.186,-0.757,-11.78,2.258,-18.494,4
0.172,0.162,-0.752,-7.568,0.793,-17.578,4
0.149,0.158,-0.765,-3.784,1.465,-13.367,4
0.147,0.196,-0.779,-0.916,2.625,-7.446,4
0.178,0.24,-0.805,1.099,3.723,-2.319,4
0.22,0.256,-0.843,2.197,5.554,-0.244,4
0.232,0.256,-0.873,4.578,4.028,-0.488,4
0.224,0.255,-0.89,5.859,1.099,-1.526,4
0.222,0.253,-0.909,6.042,0.671,-1.404,4
0.239,0.261,-0.931,6.226,1.404,0.549,4
0.263,0.299,-0.942,4.822,1.892,1.953,4
0.286,0.319,-0.945,3.357,1.343,1.77,4
0.288,0.318,-0.943,3.296,-1.282,0.366,4
0.277,0.303,-0.951,4.089,-3.845,-1.038,4
0.273,0.29,-0.95,3.235,-4.578,-1.404,4
0.271,0.285,-0.935,1.038,-4.028,-0.916,4
0.278,0.298,-0.91,-0.671,-2.625,0.305,4
0.287,0.308,-0.891,-1.038,-2.075,1.526,4
0.303,0.295,-0.887,-0.671,-2.075,2.197,4
0.308,0.28,-0.883,0.366,-2.38,1.892,4
0.303,0.28,-0.868,1.282,-3.357,1.221,4
0.303,0.279,-0.862,2.014,-3.174,1.282,4
0.308,0.275,-0.873,2.502,-2.014,1.221,4
0.307,0.277,-0.876,2.991,-1.526,1.648,4
0.303,0.28,-0.868,3.296,-1.77,2.136,4
0.293,0.281,-0.859,4.089,-1.953,2.563,4
0.302,0.293,-0.867,5.31,-1.831,3.357,4
0.328,0.302,-0.908,4.517,0.549,3.418,4
0.335,0.302,-0.924,1.16,3.357,1.77,4
0.332,0.31,-0.91,-0.977,2.747,0.732,4
0.323,0.309,-0.898,-1.099,1.831,0.0,4
0.313,0.3,-0.899,-0.732,1.526,-0.61,4
0.3,0.299,-0.89,-0.305,1.282,-0.732,4
0.292,0.313,-0.87,0.61,0.793,-0.732,4
0.297,0.31,-0.879,2.38,1.221,-0.488,4
0.296,0.293,-0.902,3.601,1.343,-0.793,4
